Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Default,Roboto Medium,44,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,2,40,40,46,1
main,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,2,40,40,46,0
top,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,8,40,40,46,0
italics,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,-1,0,0,100,100,0,0,1,2.6,0,2,40,40,46,0
italicstop,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,-1,0,0,100,100,0,0,1,2.6,0,8,40,40,46,0
flashback,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,2,40,40,46,1
flashback italics,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,-1,0,0,100,100,0,0,1,2.6,0,2,40,40,46,1
flashbacktop,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,8,40,40,46,0
flashbackitalicstop,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,-1,0,0,100,100,0,0,1,2.6,0,8,40,40,46,0
sign_4087_58_Grrr,Verdana,70,&H004B5053,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,0,0,2,554,554,20,1
sign_7288_74_Episode_1,Trebuchet MS,20,&H00FFFFFF,&H000000FF,&HC8000000,&HC8000000,-1,0,0,0,100,100,0,0,1,2,2,2,60,60,20,1
sign_7288_75__Even_If_That_Is,Trebuchet MS,40,&H00FFFFFF,&H000000FF,&HC8000000,&HC8000000,-1,0,0,0,100,100,0,0,1,2,2,1,60,60,40,1
sign_9604_107_Raw_Cost_,Trebuchet MS,50,&H0043363B,&H000000FF,&H00C7ECE4,&H002B21BF,-1,0,0,0,100,100,0,0,1,4,6,4,60,60,0,1
sign_9604_108_50_000_Yen,Trebuchet MS,50,&H001ADDDF,&H000000FF,&H00AAEAFF,&H002D25C3,-1,0,0,0,100,100,0,0,1,4,6,6,60,60,40,1
sign_13417_149_Club_Meet,Trebuchet MS,30,&H00A4619B,&H000000FF,&H00F7F7F7,&H00000000,-1,0,0,0,100,100,0,0,1,0,0,8,60,60,40,1
sign_32520_418_Saki_chan_s_Moth,Arial,22,&H00F7FDF4,&H000000FF,&H00000000,&H00000000,-1,0,0,0,100,100,0,0,1,0,0,2,60,60,40,1
sign_32520_419_May_I_have_Saki_,Arial,16,&H00000000,&H000000FF,&H0071E897,&H00000000,0,0,0,0,100,100,0,0,1,8,0,9,60,60,40,1
sign_32520_420_Huh_,Arial,16,&H00000000,&H000000FF,&H00E3EDE3,&H00000000,0,0,0,0,100,100,0,0,1,8,0,7,60,60,40,1
sign_34813_424_Preview,Roboto Medium,24,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,2,40,40,46,1
sign_34813_425_Episode_2,Trebuchet MS,20,&H00000000,&H000000FF,&HC8FFFFFF,&HC8FFFFFF,-1,0,0,0,100,100,0,0,1,2,2,2,60,60,40,1
sign_34813_426__How_Nagisa_Feel,Trebuchet MS,24,&H00000000,&H000000FF,&HC8FFFFFF,&HC8FFFFFF,-1,0,0,0,100,100,0,0,1,2,2,1,60,60,40,1
sign_5658_74_Girlfriend__Girl,Verdana,80,&H00000100,&H000000FF,&H00FFFFFF,&H00000000,0,-1,0,0,100,100,0,0,1,0,0,2,60,60,40,0
draw,Roboto Medium,52,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,2.6,0,2,0,0,0,0
